GID,Shooter,gameID
THPZ-0Z3S,287-EG0-894,21-BETS
WAVG-3HLJ,287-EG0-894,10-YKDA
IHR6-7LRX,287-EG0-894,15-OAYK
H0V7-KZFP,287-EG0-894,14-PUNZ
G64R-3BMT,287-EG0-894,21-BETS
2G80-K1XK,287-EG0-894,21-BETS
QX3D-ENC6,287-EG0-894,10-YKDA
HS1X-NNMS,287-EG0-894,14-PUNZ
9Y7M-YP9T,287-EG0-894,21-BETS
CMF9-9FC8,287-EG0-894,14-PUNZ
6IOF-NNUJ,287-EG0-894,21-BETS
3D25-P0AX,287-EG0-894,14-PUNZ
TEUR-I8P9,287-EG0-894,10-YKDA
6JWW-85LT,287-EG0-894,10-YKDA
0PUV-E9FY,287-EG0-894,14-PUNZ
57QC-TNSX,287-EG0-894,10-YKDA
6SCJ-GA5I,287-EG0-894,15-OAYK
B5B7-LA1N,287-EG0-894,21-BETS
Y89H-T94I,287-EG0-894,15-OAYK
4JRF-7C0Z,287-EG0-894,10-YKDA
JVVM-XZJJ,287-EG0-894,15-OAYK
980D-GY8V,287-EG0-894,14-PUNZ
Q32O-YTN0,287-EG0-894,21-BETS
IY2I-KYGR,287-EG0-894,21-BETS
28Z1-OB4X,287-EG0-894,21-BETS
9XVK-V8B5,287-EG0-894,21-BETS
ZQ3Q-XWVB,287-EG0-894,15-OAYK
N4C9-GEJW,287-EG0-894,15-OAYK
QYM2-AWXY,099-VZ2-928,82-FBHP
SDIX-WABJ,099-VZ2-928,29-TUVF
8PLN-4OJ5,099-VZ2-928,85-VLYI
US6H-0OWZ,099-VZ2-928,85-VLYI
YKPY-M8RN,099-VZ2-928,85-VLYI
VEHX-CMG5,099-VZ2-928,78-ZJPC
NQBN-R6F7,099-VZ2-928,57-UYPS
HPN2-KNDV,099-VZ2-928,94-NUJN
C0FK-WUYX,099-VZ2-928,94-NUJN
7XRQ-L3MG,099-VZ2-928,82-FBHP
AD7I-SGLQ,099-VZ2-928,29-TUVF
NSPY-520Y,099-VZ2-928,85-VLYI
