ContractID,Team,Person,ContractEnd,ContractStart,Salary
CMEA-6941,ZK-987,NVWZ-929,2021-06-01,2022-07-06,92739
PW1J-5937,FO-623,VELB-451,2022-03-28,2024-05-15,38717
44Z0-0560,EZ-769,GOSC-513,2020-12-30,2024-09-23,58034
DBC4-9526,YZ-552,AIRM-084,2020-04-06,2022-06-09,18231
UM9F-3641,TJ-663,NOLV-864,2022-03-07,2024-03-26,42760
0NRI-3106,OF-955,SSYW-096,2021-07-18,2024-07-24,10037
MJHX-2787,JG-818,XZCY-912,2021-07-17,2023-12-10,25674
WSUE-9059,YT-531,UIJY-863,2021-11-20,2023-07-17,62215
Y3QZ-3922,KG-943,GFRP-361,2019-12-25,2022-11-07,93189
OVXE-7737,YC-315,BPQK-308,2020-01-14,2022-09-27,81384
JVQW-9958,PN-497,RJBZ-784,2020-10-17,2023-07-21,39240
T827-0801,KW-724,VHIR-010,2020-09-18,2024-06-21,38193
73WL-4301,WI-704,IZHQ-092,2021-10-13,2023-02-10,80182
GIVS-7147,PY-241,KPUV-949,2021-04-28,2022-07-24,80802
2JPN-7136,NX-742,SGCJ-248,2021-06-24,2024-12-14,85012
RSEH-1997,RJ-217,HETH-998,2019-11-23,2024-07-27,43054
I5VW-7384,QL-031,UXWQ-236,2021-02-17,2023-03-25,77410
0H6D-0610,FJ-273,OBWP-363,2020-08-15,2025-04-08,84938
