ContractID,Team,Person,ContractEnd,ContractStart,Salary
592Y-2069,EZ-769,287-EG0-894,2023-12-27,2021-08-20,57353
Z8MH-9028,YT-531,099-VZ2-928,2022-11-21,2020-09-08,19153
6CYJ-0642,OF-955,537-OT1-130,2024-02-26,2021-05-14,55057
SEOS-8610,WI-704,938-II7-279,2023-11-25,2020-12-06,99268
QJ8U-0401,YT-531,173-KS0-031,2024-11-05,2019-07-09,75789
OU3U-0484,YC-315,337-HW7-280,2024-01-10,2020-10-29,93723
QXUY-8269,KW-724,107-TM5-587,2024-10-13,2019-08-05,18514
U8ZZ-7901,RJ-217,485-NV8-595,2024-11-25,2019-08-22,15169
U670-6236,YC-315,497-XB8-064,2023-12-05,2020-08-19,96920
OOFG-9496,FO-623,590-VF5-178,2022-08-31,2019-10-12,53888
JMD6-1900,YC-315,572-OY8-422,2024-09-11,2019-08-03,32843
GJWC-8957,KW-724,697-XA2-935,2022-07-15,2019-11-15,87072
UYBP-7719,FO-623,533-AL3-625,2024-07-06,2019-07-17,24714
YDDO-7868,NX-742,608-OH6-957,2023-02-05,2019-06-03,42056
TI1D-8981,RJ-217,667-JR2-621,2025-05-26,2020-02-12,28893
9PZF-5714,YT-531,090-PZ3-095,2024-01-26,2021-12-02,74402
M26F-5724,KW-724,501-ZP1-300,2022-07-28,2020-08-21,98300
C1P2-7081,OF-955,790-NE3-428,2024-05-11,2022-04-02,42230
AM38-6100,EZ-769,195-UB7-912,2024-09-17,2020-05-03,30760
LHW4-6951,EZ-769,538-YZ7-985,2023-03-01,2020-08-12,68954
M0AQ-2809,ZK-987,988-PW2-894,2024-05-26,2021-12-17,10911
VFR3-9054,WI-704,405-RL2-174,2023-09-06,2019-07-26,89554
OUL5-0083,FJ-273,149-KM9-902,2025-04-06,2020-06-18,48991
TWZV-9165,PY-241,012-YY9-264,2023-02-12,2019-10-09,36617
E1E6-7057,WI-704,539-BR7-978,2023-09-23,2020-06-22,30635
LQSV-1528,YT-531,853-SS3-664,2025-01-15,2021-07-14,56008
XPJV-8806,PY-241,574-SW4-081,2024-10-09,2022-03-20,39992
RDLU-0908,EZ-769,421-IQ6-937,2023-04-28,2020-03-16,12877
GR3G-6241,NX-742,638-BJ8-682,2023-02-08,2021-04-04,66012
BU6R-8547,OF-955,026-DV0-345,2022-12-18,2022-05-02,42603
AO1W-0258,RJ-217,447-NO6-657,2022-07-11,2019-06-15,75693
IF0B-7772,TJ-663,150-KH8-119,2023-11-22,2019-08-11,98405
2VBK-6318,EZ-769,136-PX2-774,2025-01-11,2020-08-27,40809
CKVP-2631,ZK-987,215-EA5-262,2023-06-25,2020-12-29,26095
5TML-5528,JG-818,953-WJ0-374,2022-06-08,2019-08-12,88123
BCAV-1891,PN-497,256-JU0-898,2022-12-17,2021-08-25,20051
XXU5-8471,ZK-987,948-MW0-107,2023-12-28,2020-06-28,98245
CL6R-4816,KG-943,684-MS1-464,2025-04-06,2021-05-11,63308
PTXH-9194,FO-623,334-NB0-937,2025-05-18,2021-04-25,56076
M1QB-9050,KG-943,363-TK0-866,2024-05-20,2020-03-18,91559
F8AD-4359,PY-241,447-TZ5-853,2024-03-14,2020-02-02,95911
82VR-4149,OF-955,940-VQ7-135,2023-08-26,2021-06-23,79676
XCC0-3079,NX-742,336-IA7-754,2022-10-27,2021-01-28,87046
VEZR-2699,YT-531,923-NK3-296,2024-02-28,2021-03-02,15009
MO3Q-8820,RJ-217,993-HY4-230,2023-05-08,2022-03-07,94637
W4ZC-4821,YC-315,423-KZ9-395,2022-10-05,2021-04-09,32688
2E7S-3906,NX-742,858-FZ7-454,2024-12-28,2020-04-19,77097
2GIT-0090,WI-704,232-AP9-847,2022-09-07,2021-01-14,31070
Z3Y2-8673,KG-943,673-CM5-760,2023-08-10,2019-08-10,20479
X1V2-9296,YC-315,468-VY0-092,2025-01-30,2021-11-22,13095
FXK3-3264,FO-623,129-YV2-566,2022-09-07,2019-10-07,98605
HPCX-7570,QL-031,077-XZ2-791,2023-03-09,2022-01-21,45521
W1NT-3876,QL-031,535-EC9-841,2025-03-30,2022-05-20,57714
INAV-9420,QL-031,206-SO6-745,2025-04-06,2021-08-29,25035
46WX-4463,FJ-273,575-MW5-996,2023-02-06,2021-10-02,75763
FNKP-3390,YC-315,137-VH7-094,2024-01-02,2020-06-28,85064
5B4R-9073,TJ-663,019-YA6-434,2024-01-31,2020-07-09,43824
0H5E-3727,RJ-217,883-NV6-347,2023-12-19,2019-12-02,36619
5E3F-3615,RJ-217,953-RG3-717,2023-10-22,2022-02-18,21484
EKWA-8054,YT-531,105-LE9-681,2023-03-11,2021-02-06,18272
VXR8-3771,PN-497,497-NN2-934,2024-03-26,2020-12-23,10163
S0DF-1081,FO-623,498-OE3-923,2022-10-07,2020-03-01,23470
FUCJ-1420,KG-943,336-WJ5-355,2024-02-03,2020-01-15,75705
KH1P-2063,YC-315,885-TY9-138,2024-01-04,2020-12-06,36082
E7CK-0473,YC-315,113-FN6-163,2024-06-13,2020-05-08,79276
0B18-5647,TJ-663,235-TG9-344,2023-02-07,2020-02-25,41603
B98V-0683,KW-724,896-PV6-045,2024-07-05,2020-08-31,79028
78J4-1419,KW-724,911-UZ2-387,2024-04-06,2020-03-15,35521
4XLV-6830,OF-955,573-EJ9-526,2022-07-26,2021-12-02,86192
Q8S2-5566,PN-497,350-OW8-189,2024-03-22,2021-01-07,13528
3C6L-0857,WI-704,972-NV7-665,2025-01-24,2020-12-04,85792
TC4I-0599,RJ-217,388-PF0-032,2023-01-04,2021-11-23,75152
DBKF-1567,PN-497,026-OK4-216,2022-10-08,2020-06-18,68846
TPVM-5513,KW-724,329-IB4-438,2024-07-05,2019-06-05,91169
K6LI-1315,WI-704,797-OL2-048,2023-04-23,2021-06-18,48487
D7KF-3554,FO-623,820-VF0-315,2024-08-17,2019-06-28,38058
MS58-5708,FJ-273,202-JI2-281,2025-02-11,2020-04-14,17531
DOA1-9809,KG-943,387-VU1-537,2023-11-18,2020-04-28,59378
6H5N-5975,PY-241,929-IE3-998,2024-03-18,2020-04-20,76885
PWA3-7125,PN-497,666-LD9-468,2024-08-10,2019-11-25,35388
QMVA-0963,OF-955,165-VX6-160,2023-10-17,2021-04-26,64512
341D-8989,YC-315,631-FG0-177,2024-03-13,2019-08-13,19743
J2ZR-4822,KW-724,150-HK0-540,2024-04-27,2022-02-28,30214
GQAG-5113,NX-742,121-BM3-182,2023-05-30,2020-09-16,14904
IEKZ-0008,YZ-552,698-SQ6-993,2022-12-18,2021-09-26,23256
B91G-9168,KG-943,545-UT1-058,2022-08-26,2022-05-02,85039
AKNG-6844,TJ-663,675-BK0-074,2024-02-02,2019-06-08,16268
MVPX-3849,EZ-769,660-WB9-234,2025-05-04,2021-06-20,82456
T02Q-9510,TJ-663,271-PA2-295,2025-01-13,2021-06-24,45216
R452-4640,TJ-663,969-JJ9-407,2023-09-04,2021-04-27,69038
VWLL-7822,YC-315,466-ZP3-733,2024-04-03,2020-01-08,30890
1PO3-5717,RJ-217,148-ET5-060,2023-06-17,2019-12-15,71451
EID0-9482,YC-315,083-BY0-556,2024-01-08,2020-03-03,16642
TK4O-1865,FJ-273,331-LN7-902,2022-12-24,2020-11-07,91502
7KZQ-8419,ZK-987,168-PW3-948,2023-03-14,2020-10-29,64034
VNOU-6534,YT-531,219-WF6-997,2025-05-17,2021-05-04,27246
SP4L-0264,EZ-769,648-XL5-837,2022-10-10,2020-08-10,15556
DX7Z-8520,TJ-663,807-SU7-256,2025-02-25,2020-02-18,85348
G9UA-5626,PY-241,975-OH7-196,2024-01-16,2021-05-12,28034
